"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"90",90,1988-06-09 07:00:00,23.52,31.57,26.71,58.8,86.1,5.2,2.5,"N ",NA,NA
"91",91,1988-06-19 07:00:00,23.08,32.02,26.97,5.5,84,7.31,2.2,"E ",NA,NA
"92",92,1988-06-29 07:00:00,23.49,30.74,26.03,149.9,88.4,3.57,2.11111111111111,"N ",6,350
"93",93,1988-07-09 07:00:00,23.56,30.6,26.72,7.22222222222222,86,5.5,2.5,"E ",7,120
"94",94,1988-07-19 07:00:00,23.54,29.74,26.83,32.2,85.3,5.62,2.22222222222222,"E ",7,110
"95",95,1988-07-29 07:00:00,23.26,30.92,26.35,45.4,85.9,5.06,3.2,"N ",NA,NA
"96",96,1988-08-08 07:00:00,23.54,31.02,26.37,248.222222222222,86.6,4.32,2.66666666666667,"N ",NA,NA
"97",97,1988-08-18 07:00:00,23.18,30.48,26,113.666666666667,88.7,3.43,2,"N ",NA,NA
"98",98,1988-08-28 07:00:00,23.67,30.69,26.07,154.3,88.5,4.77,2.5,"E ",NA,NA
"99",99,1988-09-07 07:00:00,23.58,30.08,26.08,219.9,89.4,4.21,2.16666666666667,"N ",NA,NA
"100",100,1988-09-17 07:00:00,24.25,31.42,26.83,86.4,87.2,4.31,2.1,"N ",NA,NA
"101",101,1988-09-27 07:00:00,24.13,31.25,27.15,13.3,85.9,6.14,1.9,"N ",NA,NA
"102",102,1988-10-07 07:00:00,23.66,30.69,26.58,29.9,87.2,4.08,2,"N ",NA,NA
"103",103,1988-10-17 07:00:00,23.39,31.24,26.8,10.4,83.7,6.33,1.875,"N ",NA,NA
"104",104,1988-10-27 07:00:00,24.03,31.01,27.03,83.2222222222222,85.8,5.67,1.375,"N ",NA,NA
"105",105,1988-11-06 07:00:00,24.01,31.18,26.97,88.9,87,4.58,2.11111111111111,"N ",NA,NA
"106",106,1988-11-16 07:00:00,23.61,29.75,26.24,166.4,86.9,3.28,2.11111111111111,"N ",NA,NA
"107",107,1988-11-26 07:00:00,23.8,29.48,25.95,206.444444444444,89.6,3.62,2.25,"N ",NA,NA
"108",108,1988-12-06 07:00:00,24.22,29.35,26.48,34,84,3.76,3,"N ",NA,NA
"109",109,1988-12-16 07:00:00,25.24,30.38,27.62,13,80.8,6.4,3.2,"NW",NA,NA
"110",110,1988-12-26 07:00:00,23.96,30.3,26.6,86.7,85.2,5.37,2.57142857142857,"N ",NA,NA
"111",111,1989-01-05 07:00:00,23.4,29.65,26.06,172.6,88.6,3.97,NA,"N ",NA,NA
