"","p11","mid.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"70",70,1988-02-04 07:00:00,24.1818181818182,29.8272727272727,26.5818181818182,91.4,88.0909090909091,3.66363636363636,NA,"N ",NA,NA
"71",71,1988-02-15 07:00:00,25.3090909090909,30.7,27.6090909090909,27.7,83.2727272727273,6.79090909090909,2.54545454545455,"NW",NA,NA
"72",72,1988-02-26 07:00:00,24.4545454545455,30.9363636363636,27.2,97.2,87.3636363636364,4.44545454545455,1.75,"N ",NA,NA
"73",73,1988-03-08 07:00:00,24.3818181818182,30.5,26.9727272727273,202.84,87.2727272727273,3.87272727272727,NA,"N ",NA,NA
"74",74,1988-03-19 07:00:00,24.5272727272727,31.1818181818182,27.4272727272727,160,86,4.83636363636364,2.5,"N ",NA,NA
"75",75,1988-03-30 07:00:00,24.4909090909091,30,26.6909090909091,78.6,88.1818181818182,3.72727272727273,NA,"N ",NA,NA
"76",76,1988-04-10 07:00:00,24.3363636363636,31.5818181818182,27.2909090909091,129.8,87.2727272727273,5.62727272727273,NA,"N ",NA,NA
"77",77,1988-04-21 07:00:00,24.4545454545455,31.8363636363636,27.2636363636364,210.8,88.5454545454545,5.4,1.7,"N ",NA,NA
"78",78,1988-05-02 07:00:00,24.3909090909091,31.2181818181818,27.3545454545455,235.7,88.0909090909091,4.44545454545455,NA,"N ",NA,NA
"79",79,1988-05-13 07:00:00,24.8454545454545,31.4181818181818,27.6090909090909,70.2,87.6363636363636,4.42727272727273,NA,"N ",NA,NA
"80",80,1988-05-24 07:00:00,24.6636363636364,31.4818181818182,27.3909090909091,147.4,88.4545454545455,5.02727272727273,1.875,"N ",NA,NA
"81",81,1988-06-04 07:00:00,24.1727272727273,32.0181818181818,27.3363636363636,112.5,85.8181818181818,3.96363636363636,NA,"N ",NA,NA
"82",82,1988-06-15 07:00:00,23.3818181818182,31.5727272727273,26.6818181818182,9.4,85.7272727272727,5.36363636363636,2.3,"E ",NA,NA
"83",83,1988-06-26 07:00:00,23.1272727272727,31.5454545454545,26.6363636363636,99.9,85.0909090909091,6.40909090909091,2.18181818181818,"E ",NA,NA
"84",84,1988-07-07 07:00:00,23.6272727272727,30.4727272727273,26.3727272727273,55.9,87.2727272727273,4.4,2.4,"N ",7,120
"85",85,1988-07-18 07:00:00,23.4727272727273,30.7636363636364,26.7181818181818,17.05,86.0909090909091,5.57272727272727,2.25,"N ",7,110
"86",86,1988-07-29 07:00:00,23.3272727272727,30.2,26.5363636363636,50.2,85.4545454545455,5.16363636363636,2.81818181818182,"E ",9,120
"87",87,1988-08-09 07:00:00,23.5454545454545,30.7454545454545,26.3454545454545,148.94,86.7272727272727,4.20909090909091,3,"N ",NA,NA
"88",88,1988-08-20 07:00:00,23.2181818181818,30.6363636363636,26.1545454545455,200.9,87.7272727272727,3.85454545454545,2.09090909090909,"N ",NA,NA
"89",89,1988-08-31 07:00:00,23.5545454545455,30.7545454545455,26,142.78,88.7272727272727,4.66363636363636,2.44444444444444,"N ",NA,NA
"90",90,1988-09-11 07:00:00,23.6181818181818,30.2,26.1272727272727,251.8,89.2727272727273,4.35454545454545,NA,"N ",NA,NA
"91",91,1988-09-22 07:00:00,24.1727272727273,31.4727272727273,26.8818181818182,86.6,86.9090909090909,4.58181818181818,2.09090909090909,"N ",NA,NA
"92",92,1988-10-03 07:00:00,24.1909090909091,31.0454545454545,27.1,13.1,86.2727272727273,5.48181818181818,2,"N ",NA,NA
"93",93,1988-10-14 07:00:00,23.4727272727273,31.0090909090909,26.7090909090909,34.5,85.1818181818182,5.30909090909091,1.875,"N ",NA,NA
"94",94,1988-10-25 07:00:00,23.5,31.1272727272727,26.6272727272727,55.1,85.7272727272727,5.60909090909091,1.5,"N ",NA,NA
"95",95,1988-11-05 07:00:00,24.2363636363636,30.9909090909091,27.1545454545455,77.77,86.2727272727273,5.64545454545455,1.77777777777778,"N ",NA,NA
"96",96,1988-11-16 07:00:00,23.8454545454545,30.6181818181818,26.8818181818182,169.4,86.0909090909091,3.81818181818182,2.09090909090909,"N ",NA,NA
"97",97,1988-11-27 07:00:00,23.6909090909091,29.5181818181818,25.8454545454545,179.52,89,3.25454545454545,2.25,"N ",NA,NA
"98",98,1988-12-08 07:00:00,24,29.3,26.1454545454545,96.2,86.5454545454545,3.77272727272727,2.6,"N ",NA,NA
"99",99,1988-12-19 07:00:00,25.0181818181818,30.1090909090909,27.4363636363636,3.3,80.7272727272727,5.78181818181818,3.27272727272727,"NW",NA,NA
"100",100,1988-12-30 07:00:00,24.1454545454545,30.3090909090909,26.7181818181818,96.6,84.8181818181818,5.41818181818182,2.75,"N ",NA,NA
"101",101,1989-01-10 07:00:00,23.3909090909091,29.5181818181818,25.9363636363636,231.7,89.0909090909091,3.80909090909091,NA,"N ",NA,NA
"102",102,1989-01-21 07:00:00,23.8,29.8181818181818,26.3181818181818,179.9,86.6363636363636,4.4,NA,"N ",NA,NA
"103",103,1989-02-01 07:00:00,24.5272727272727,29.8545454545455,26.9636363636364,74.8,82.6363636363636,5.20909090909091,2.63636363636364,"N ",NA,NA
"104",104,1989-02-12 07:00:00,23.5090909090909,29.7272727272727,26.3454545454545,152,84.1818181818182,4.14545454545455,1.9,"N ",NA,NA
"105",105,1989-02-23 07:00:00,24.2090909090909,30.0545454545455,26.7090909090909,213.5,86,3.16363636363636,2,"N ",NA,NA
"106",106,1989-03-06 07:00:00,23.7090909090909,30.3090909090909,26.5909090909091,113.5,84.3636363636364,5.63636363636364,2.55555555555556,"N ",NA,NA
"107",107,1989-03-17 07:00:00,23.7272727272727,30.5272727272727,26.6727272727273,3.7,84.4545454545455,4.59090909090909,NA,"N ",NA,NA
"108",108,1989-03-28 07:00:00,22.8545454545455,30.4909090909091,25.8727272727273,127.8,87.0909090909091,5.3,NA,"N ",NA,NA
"109",109,1989-04-08 07:00:00,23.6909090909091,30.1545454545455,26.0363636363636,79.86,88,4.31818181818182,NA,"N ",NA,NA
"110",110,1989-04-19 07:00:00,23.6727272727273,31.1363636363636,26.8909090909091,10.2,86.5454545454545,5.8,NA,"N ",NA,NA
"111",111,1989-04-30 07:00:00,23.9818181818182,31.7090909090909,27,65.5,85.1818181818182,5.88181818181818,NA,"N ",NA,NA
"112",112,1989-05-11 07:00:00,23.7454545454545,31.3636363636364,27.0363636363636,198.44,86.6363636363636,6.30909090909091,NA,"N ",NA,NA
"113",113,1989-05-22 07:00:00,23.7181818181818,31.8,27.1818181818182,33.44,85.5454545454545,6.02727272727273,NA,"N ",NA,NA
"114",114,1989-06-02 07:00:00,23.4727272727273,30.6818181818182,26.7727272727273,95.3,86.2727272727273,5.37272727272727,NA,"N ",NA,NA
"115",115,1989-06-13 07:00:00,23.2909090909091,31.3,26.8272727272727,76.5,84.8181818181818,5.71818181818182,1.75,"N ",NA,NA
"116",116,1989-06-24 07:00:00,22.9727272727273,31.0454545454545,26.3818181818182,39.93,84.9090909090909,5.7,2.22222222222222,"N ",NA,NA
"117",117,1989-07-05 07:00:00,23.3272727272727,31.2818181818182,26.3454545454545,80.7,85.4545454545455,5.70909090909091,NA,"N ",NA,NA
"118",118,1989-07-16 07:00:00,23.0545454545455,30.6454545454545,25.8454545454545,108.5,87.0909090909091,4.95454545454545,1.66666666666667,"N ",NA,NA
"119",119,1989-07-27 07:00:00,23.0545454545455,31.8363636363636,26.4727272727273,42.46,84.1818181818182,6.70909090909091,2.1,"N ",NA,NA
"120",120,1989-08-07 07:00:00,22.7818181818182,31.8090909090909,26.8909090909091,23.4,83.7272727272727,7.00909090909091,NA,"N ",NA,NA
"121",121,1989-08-18 07:00:00,22.7272727272727,31.4818181818182,26.5454545454545,11.55,85.9090909090909,6.73636363636364,2.45454545454545,"N ",NA,NA
"122",122,1989-08-29 07:00:00,23.1818181818182,31.3636363636364,26.4727272727273,38.5,87.8181818181818,5.71818181818182,2.63636363636364,"N ",NA,NA
"123",123,1989-09-09 07:00:00,22.7272727272727,31.5545454545455,26.4545454545455,13.7,85.8181818181818,6.00909090909091,2.45454545454545,"N ",NA,NA
"124",124,1989-09-20 07:00:00,23.3818181818182,31.3090909090909,26.4090909090909,183.2,88.9090909090909,5.25454545454545,2.22222222222222,"N ",NA,NA
"125",125,1989-10-01 07:00:00,23.4181818181818,30.7181818181818,26.5272727272727,NA,88.6363636363636,5.00909090909091,NA,"N ",NA,NA
"126",126,1989-10-12 07:00:00,23.3636363636364,30.5272727272727,26.3181818181818,34.76,87.5454545454545,4.9,NA,"N ",NA,NA
"127",127,1989-10-23 07:00:00,23.5818181818182,30.8363636363636,26.2363636363636,228.47,88.6363636363636,4.55454545454545,NA,"N ",NA,NA
"128",128,1989-11-03 07:00:00,23.7454545454545,30.2363636363636,26.7272727272727,107.9,87.6363636363636,4.42727272727273,NA,"N ",NA,NA
"129",129,1989-11-14 07:00:00,24.1818181818182,30.6545454545455,26.7454545454545,139.5,88.8181818181818,5.06363636363636,NA,"N ",NA,NA
"130",130,1989-11-25 07:00:00,23.9818181818182,30.2818181818182,26.5818181818182,150.3,89,5.19090909090909,NA,"N ",NA,NA
"131",131,1989-12-06 07:00:00,23.7090909090909,30.1272727272727,26.3363636363636,214.2,89.6363636363636,4.63636363636364,2,"N ",NA,NA
"132",132,1989-12-17 07:00:00,23.9636363636364,30.3,26.9636363636364,41.7,87.5454545454545,5.87272727272727,1.77777777777778,"N ",NA,NA
"133",133,1989-12-28 07:00:00,23.7090909090909,29.9545454545455,26.1636363636364,217.03,92.0909090909091,3.80909090909091,NA,"N ",NA,NA
"134",134,1990-01-08 07:00:00,24.0727272727273,30.2181818181818,26.7727272727273,67.54,84.9090909090909,5.07272727272727,2.22222222222222,"N ",NA,NA
"135",135,1990-01-19 07:00:00,23.8545454545455,29.6545454545455,26.5363636363636,88.1,88.6363636363636,3.98181818181818,NA,"N ",NA,NA
"136",136,1990-01-30 07:00:00,24.2909090909091,30.1,26.8363636363636,128.7,86.0909090909091,4.72727272727273,NA,"N ",NA,NA
"137",137,1990-02-10 07:00:00,23.6545454545455,30.1090909090909,26.3909090909091,201.8,88.8181818181818,3.26363636363636,NA,"N ",NA,NA
"138",138,1990-02-21 07:00:00,23.7818181818182,30.3454545454545,26.4909090909091,235,87.6363636363636,4.32727272727273,NA,"N ",NA,NA
"139",139,1990-03-04 07:00:00,23.7090909090909,30.1272727272727,26.5545454545455,126.7,86.9090909090909,5.21818181818182,2,"N ",NA,NA
"140",140,1990-03-15 07:00:00,24.6272727272727,31.1272727272727,27.4818181818182,136.07,85.0909090909091,5.55454545454545,1.9,"N ",NA,NA
"141",141,1990-03-26 07:00:00,23.7818181818182,31.2363636363636,27.1363636363636,68.5,85.8181818181818,5.50909090909091,NA,"N ",NA,NA
"142",142,1990-04-06 07:00:00,23.7272727272727,30.4818181818182,26.4545454545455,278.41,90.3636363636364,4.41818181818182,NA,"N ",NA,NA
"143",143,1990-04-17 07:00:00,24.2181818181818,31.4363636363636,27.1636363636364,NA,85.4545454545455,4.45454545454546,NA,"N ",NA,NA
"144",144,1990-04-28 07:00:00,24.1454545454545,31.3636363636364,27.2363636363636,130.68,86.3636363636364,5.43636363636364,NA,"N ",NA,NA
"145",145,1990-05-09 07:00:00,24.1818181818182,31.8,27.1636363636364,110.77,86.7272727272727,5.57272727272727,NA,"N ",NA,NA
"146",146,1990-05-20 07:00:00,24.4909090909091,32.2181818181818,27.7545454545455,26.3,84.4545454545455,7,NA,"N ",NA,NA
"147",147,1990-05-31 07:00:00,24.1090909090909,31.8909090909091,27.4363636363636,102.8,84.9090909090909,5.75454545454545,NA,"N ",NA,NA
"148",148,1990-06-11 07:00:00,22.7090909090909,31.7363636363636,26.9181818181818,0,82.2727272727273,7.01818181818182,1.77777777777778,"N ",NA,NA
"149",149,1990-06-22 07:00:00,23.6727272727273,31.9363636363636,27.2818181818182,85.5,84.6363636363636,4.61818181818182,NA,"N ",NA,NA
"150",150,1990-07-03 07:00:00,23.4272727272727,31.5454545454545,26.5818181818182,NA,86.6363636363636,5.95454545454545,NA,"N ",NA,NA
"151",151,1990-07-14 07:00:00,23.1454545454545,31.0818181818182,26.3545454545455,NA,87.2727272727273,5.79090909090909,1.875,"N ",NA,NA
"152",152,1990-07-25 07:00:00,22.6545454545455,31.4454545454545,26.0545454545455,58.63,86.5454545454545,7.34545454545455,2.11111111111111,"N ",NA,NA
"153",153,1990-08-05 07:00:00,23.4727272727273,31.0545454545455,26.4363636363636,3.8,88.1818181818182,4.44545454545455,NA,"N ",NA,NA
"154",154,1990-08-16 07:00:00,21.7636363636364,30.9272727272727,25.6636363636364,0,83.6363636363636,7.36363636363636,2.8,"N ",NA,NA
"155",155,1990-08-27 07:00:00,21.7909090909091,32.2272727272727,26.5545454545455,0,84.3636363636364,7.63636363636364,2.63636363636364,NA,NA,NA
"156",156,1990-09-07 07:00:00,23.4272727272727,32.5090909090909,26.9545454545455,0.1,83.8181818181818,6.63636363636364,2.63636363636364,"S ",NA,NA
"157",157,1990-09-18 07:00:00,23.2,31.7272727272727,26.4909090909091,33.3,85.5454545454545,6.3,3.11111111111111,"N ",NA,NA
"158",158,1990-09-29 07:00:00,22.3909090909091,31.7,26.7363636363636,12.21,83.4545454545455,6.8,2.54545454545455,"S ",NA,NA
"159",159,1990-10-10 07:00:00,23.1909090909091,32.1818181818182,26.9272727272727,32.12,83.8181818181818,6.93636363636364,2.09090909090909,"N ",NA,NA
"160",160,1990-10-21 07:00:00,23.2454545454545,30.5727272727273,26.0454545454545,NA,89.7272727272727,3.81818181818182,NA,"N ",NA,NA
"161",161,1990-11-01 07:00:00,23.7818181818182,30.6545454545455,26.4090909090909,162.5,89.6363636363636,4.97272727272727,NA,"N ",NA,NA
"162",162,1990-11-12 07:00:00,23.6363636363636,31.3818181818182,27.1,59.2,85.1818181818182,6.02727272727273,NA,"N ",NA,NA
"163",163,1990-11-23 07:00:00,24.0727272727273,31.3090909090909,27.1636363636364,139.04,86.0909090909091,6.27272727272727,NA,"N ",NA,NA
"164",164,1990-12-04 07:00:00,24.1909090909091,30.7818181818182,26.8545454545455,134.7,88,4.63636363636364,NA,"N ",NA,NA
"165",165,1990-12-15 07:00:00,23.7636363636364,29.8272727272727,26.1090909090909,110.9,90.4545454545455,4.4,1.75,"N ",NA,NA
"166",166,1990-12-26 07:00:00,24.0909090909091,29.8363636363636,26.5272727272727,188.9,89.8181818181818,3.73636363636364,NA,"N ",NA,NA
"167",167,1991-01-06 07:00:00,24.0363636363636,31.1636363636364,27.1181818181818,49.8,85.1818181818182,5.52727272727273,NA,"N ",NA,NA
"168",168,1991-01-17 07:00:00,24.1636363636364,30.0363636363636,26.5181818181818,94.1,89.5454545454545,3.15454545454545,NA,"N ",NA,NA
"169",169,1991-01-28 07:00:00,24.1454545454545,29.8727272727273,26.4,111.7,89.5454545454545,4.22727272727273,NA,"N ",NA,NA
"170",170,1991-02-08 07:00:00,24.7636363636364,29.8636363636364,26.9545454545455,97.1,86.5454545454545,4.67272727272727,1.875,"N ",NA,NA
"171",171,1991-02-19 07:00:00,24.9636363636364,30.7363636363636,27.7,8.8,82.1818181818182,6.10909090909091,2.3,"N ",NA,NA
"172",172,1991-03-02 07:00:00,23.7454545454545,31.3090909090909,27.0363636363636,NA,85,5.89090909090909,NA,"N ",NA,NA
"173",173,1991-03-13 07:00:00,23.7272727272727,31.1636363636364,27.0181818181818,233.8,86.5454545454545,6.05454545454545,NA,"N ",NA,NA
"174",174,1991-03-24 07:00:00,23.8,30.8818181818182,26.7545454545455,218.7,87.6363636363636,5.01818181818182,NA,"N ",NA,NA
"175",175,1991-04-04 07:00:00,23.9,30.7090909090909,26.6727272727273,64.6,87.1818181818182,4.38181818181818,NA,"N ",NA,NA
"176",176,1991-04-15 07:00:00,24.2363636363636,31.7363636363636,27.4454545454545,157.6,85.2727272727273,6.51818181818182,NA,"N ",NA,NA
"177",177,1991-04-26 07:00:00,24.2818181818182,31.6363636363636,27.2636363636364,32.56,87.8181818181818,5.7,NA,"N ",5,360
"178",178,1991-05-07 07:00:00,24.2090909090909,32.5727272727273,27.4272727272727,63.5,85.5454545454545,6.77272727272727,NA,"N ",NA,NA
"179",179,1991-05-18 07:00:00,24.4818181818182,31.5636363636364,27.1727272727273,175.9,88.7272727272727,4.91818181818182,1.375,"N ",NA,NA
"180",180,1991-05-29 07:00:00,24.4545454545455,31.7545454545455,27.1636363636364,103.62,87.7272727272727,5.47272727272727,1.6,"N ",NA,NA
"181",181,1991-06-09 07:00:00,24.0363636363636,30.7818181818182,26.9454545454545,74,88.7272727272727,4.58181818181818,NA,"N ",NA,NA
"182",182,1991-06-20 07:00:00,23.8545454545455,32.4909090909091,27.6181818181818,0,82.4545454545455,7.33636363636364,1.90909090909091,"N ",NA,NA
"183",183,1991-07-01 07:00:00,22.3454545454545,31.5545454545455,26.2454545454545,NA,82.4545454545455,6.94545454545455,2.2,"N ",NA,NA
"184",184,1991-07-12 07:00:00,22.6,31.7454545454545,26.5636363636364,2.3,82.2727272727273,6.68181818181818,2.1,"N ",NA,NA
"185",185,1991-07-23 07:00:00,22.4090909090909,32.1909090909091,26.3090909090909,0,82.0909090909091,7.64545454545455,2.72727272727273,"N ",NA,NA
"186",186,1991-08-03 07:00:00,22.9727272727273,32.0363636363636,26.8545454545455,0,82,6.91818181818182,3,"S ",NA,NA
"187",187,1991-08-14 07:00:00,22.6727272727273,31.8090909090909,26.5181818181818,0,80.1818181818182,7.47272727272727,3.54545454545455,"S ",NA,NA
"188",188,1991-08-25 07:00:00,22.6818181818182,31.9181818181818,26.6,0,82.8181818181818,7.01818181818182,3.18181818181818,"S ",NA,NA
