Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir,precip_CP
Stasiun Meteorologi Rahadi Oesman,96615,14/11/1989,24.2,31.4,27,87,0,7,1,N ,9999,9999,10.8
Stasiun Meteorologi Rahadi Oesman,96615,15/11/1989,23.8,31.4,27.5,85,0.6,7.8,9999,N ,9999,9999,3.4
Stasiun Meteorologi Rahadi Oesman,96615,16/11/1989,24.6,31,26.9,95,5.2,5.8,1,N ,9999,9999,3.5
Stasiun Meteorologi Rahadi Oesman,96615,17/11/1989,24.4,27.3,25.3,90,63.9,0,9999,N ,9999,9999,41
Stasiun Meteorologi Rahadi Oesman,96615,18/11/1989,23.8,31,26.9,89,0,6.4,1,N ,9999,9999,23
Stasiun Meteorologi Rahadi Oesman,96615,19/11/1989,24.8,31.6,28.3,89,0,7,9999,N ,9999,9999,22
Stasiun Meteorologi Rahadi Oesman,96615,20/11/1989,25.4,30.6,27.3,90,25.7,4.6,2,N ,9999,9999,24.1
Stasiun Meteorologi Rahadi Oesman,96615,21/11/1989,23.8,28.8,25.4,93,47.3,7.5,1,N ,9999,9999,36.6
Stasiun Meteorologi Rahadi Oesman,96615,22/11/1989,24,26.2,24.8,96,22.8,0,2,N ,9999,9999,29.5
Stasiun Meteorologi Rahadi Oesman,96615,23/11/1989,22.8,30.7,26.5,83,0,8,3,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,24/11/1989,24.2,31,27.5,86,0,8,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,25/11/1989,24,32.2,27.8,85,0,7.4,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,26/11/1989,24.2,30.4,26.6,88,0,5.6,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,27/11/1989,23.8,31.2,27.3,86,0,7.5,9999,N ,9999,9999,6.8
Stasiun Meteorologi Rahadi Oesman,96615,28/11/1989,24,29.2,25.6,94,9.9,0.1,9999,N ,9999,9999,1.4
Stasiun Meteorologi Rahadi Oesman,96615,29/11/1989,24,31.8,26.9,89,0,3.4,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,30/11/1989,23.6,31,26.7,89,44.6,5,2,N ,9999,9999,9
Stasiun Meteorologi Rahadi Oesman,96615,1/12/1989,23.4,28.4,26,91,8.7,0,9999,N ,9999,9999,1.2
Stasiun Meteorologi Rahadi Oesman,96615,2/12/1989,23.8,30.6,26,89,1.7,4.8,2,N ,9999,9999,1
Stasiun Meteorologi Rahadi Oesman,96615,3/12/1989,23.6,30.8,26.1,90,40,7.4,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,4/12/1989,23.8,30.4,25,95,11.6,3.9,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,5/12/1989,23,29.5,25.7,92,4.8,1.8,2,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,6/12/1989,23.2,30.6,26.5,88,8.9,7.8,2,N ,9999,9999,10.4
Stasiun Meteorologi Rahadi Oesman,96615,7/12/1989,23.6,30.7,26.5,88,60.2,6.3,2,NW,9999,9999,38
Stasiun Meteorologi Rahadi Oesman,96615,8/12/1989,23.8,27.8,25.8,94,4.9,0.1,2,NW,9999,9999,4.9
Stasiun Meteorologi Rahadi Oesman,96615,9/12/1989,24.2,30.4,27.4,86,0,7.4,2,N ,9999,9999,6.7
Stasiun Meteorologi Rahadi Oesman,96615,10/12/1989,24.8,31.2,27.8,85,22.4,7.3,2,N ,9999,9999,1.1
