Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir
Stasiun Meteorologi Rahadi Oesman,96615,12/03/1986,23.6,30.2,26.7,91,7.4,5.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/03/1986,23.6,29.8,26,92,4.2,3.4,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/03/1986,23.8,28.8,25.3,95,18.4,2.5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/03/1986,23.8,29.8,26,92,1.7,2.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/03/1986,24,29.4,26,93,5.7,2.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,17/03/1986,24.2,29.2,26.6,91,48.5,3.6,2,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,18/03/1986,23.2,29,25.6,91,8888,2.9,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,19/03/1986,23.2,30.6,26.6,89,0,7.8,1,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,20/03/1986,23.8,30.6,26.7,90,26.8,6.2,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,21/03/1986,23.6,29,26,92,0.5,1,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,22/03/1986,23.8,30.8,27,90,2.3,7.6,2,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,23/03/1986,23.8,30.8,27.1,90,5.2,7.3,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,24/03/1986,23.8,30,26,92,15.4,5.5,3,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,25/03/1986,23.9,30,26.9,88,0,6.2,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,26/03/1986,24.2,30.4,27.3,90,0.2,5.8,3,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,27/03/1986,25,30.4,27.5,88,2.6,4.2,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,28/03/1986,25,29.8,26.7,92,0,3.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,29/03/1986,24,30.6,26.1,93,0.5,6.6,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,30/03/1986,24.7,30.6,27.1,92,0,5.7,1,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,31/03/1986,24.4,31,27.2,90,0,7.3,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,01/04/1986,24.8,31.4,27.7,88,0,7.9,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/04/1986,25.2,31.2,27.7,88,0,7.4,3,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/04/1986,25.2,31.4,27.9,91,0,7.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/04/1986,24.8,31.6,27.4,92,0,7.3,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/04/1986,23.8,31.8,27.2,90,15.6,4.5,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/04/1986,24.2,30.7,26.9,93,0.9,4.6,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/04/1986,23.9,31.8,27,87,19.1,6,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/04/1986,24.2,31.2,27.2,87,0.7,7.1,2,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/04/1986,24.8,31.6,27.7,86,2.2,5,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/04/1986,24.2,29,26.4,92,3.2,0,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/04/1986,24,30.4,26.7,91,5.8,5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/04/1986,23.4,30.7,26.7,89,37.7,7.4,1,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/04/1986,23.6,29,25.7,94,2.3,0,2,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/04/1986,23.9,28.4,26,95,19.5,1.4,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/04/1986,23.8,31.2,26.7,90,0,6.8,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/04/1986,23.4,31.8,27.3,90,0,8,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,17/04/1986,24.1,30,25.9,94,0,2.9,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,18/04/1986,23.8,31.6,26.8,93,0,8,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,19/04/1986,23.6,31.5,26.6,94,4.9,4,1,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,20/04/1986,22.8,30.8,26.6,90,0.5,5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,21/04/1986,23.8,31.2,27.8,90,8888,5.5,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,22/04/1986,24.5,29.7,26.9,95,3.4,1,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,23/04/1986,24.6,31.6,26.9,92,0,6.7,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,24/04/1986,24,33.1,26.4,93,50,6.9,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,25/04/1986,24.2,31,27.5,92,43.8,7.6,2,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,26/04/1986,23.6,31.6,26.8,92,11.8,6.4,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,27/04/1986,25,30.6,27.7,92,1.2,5.1,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,28/04/1986,25,31.6,27,94,1.7,6.2,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,29/04/1986,24.2,31.8,27.4,92,26.5,7.1,2,W ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,30/04/1986,24.6,31.1,26.5,92,22.4,2.4,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,01/05/1986,23.4,30.6,26.4,90,13.5,2.9,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/05/1986,24.4,30.4,27.3,89,6.9,2.6,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/05/1986,24,31.7,27.3,88,0,5,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/05/1986,24.2,28.8,26.5,91,0,1.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/05/1986,24.8,31.8,27.6,88,8.5,7.2,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/05/1986,24.2,31.2,26.8,91,10.8,3.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/05/1986,24.2,31.2,27.2,85,0,2.7,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/05/1986,24,32.7,27.9,83,0,7.9,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/05/1986,24.4,32,26.6,91,49.9,4.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/05/1986,23.4,30.6,26.8,88,6.1,7.4,2,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/05/1986,23.4,31,26.1,92,0,2.1,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/05/1986,23.8,32.6,27.8,90,0,7.9,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/05/1986,24.4,32.6,28.1,91,0,8,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/05/1986,24,32.8,28,88,36.2,7.2,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/05/1986,25,31.6,28.1,92,0,7.1,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/05/1986,24,31.6,27.4,91,0,7.9,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,17/05/1986,24,32.4,26.8,91,8888,6.1,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,18/05/1986,24,32,27.4,91,0,7.4,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,19/05/1986,24.6,32.2,27.8,88,0,8,5,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,20/05/1986,24,32.2,27.4,90,0,5.8,3,S ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,21/05/1986,23.6,32.6,27.3,92,0,7.2,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,22/05/1986,25,33.5,28.5,89,0,7.8,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,23/05/1986,25,33,27.6,89,0,7.9,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,24/05/1986,24.4,33,27.3,91,0,7.2,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,25/05/1986,23.2,32.7,27.2,89,8888,7,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,26/05/1986,23.8,32.9,27.9,89,4.8,7.4,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,27/05/1986,24.4,30.6,27.2,90,0,2.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,28/05/1986,24.2,32.9,27.4,90,4.5,7.1,4,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,29/05/1986,24.4,33,27.4,90,4.6,6.4,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,30/05/1986,23.6,31.2,25.9,90,13.5,6.6,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,31/05/1986,22.8,30.8,25,92,35.2,3.8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,01/06/1986,23.8,31.1,26.1,93,22.8,3.4,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,02/06/1986,24,31.2,26.9,90,8888,4.5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,03/06/1986,24,31.7,26.7,89,0,3.7,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,04/06/1986,23,32.4,27,87,0,8,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,05/06/1986,23,31.6,26.6,88,0,5.5,9999,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,06/06/1986,22.6,32.4,27.2,86,27,6.9,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,07/06/1986,23.8,31.6,26.9,89,5.6,6.9,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,08/06/1986,24,31.2,26.4,92,0,4.3,3,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,09/06/1986,24,31.2,26.1,93,16.5,5.2,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,10/06/1986,23.2,32,27,88,31.2,6,2,E ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,11/06/1986,24.2,31.4,27.5,86,6.4,6.6,2,NW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,12/06/1986,23.7,30.6,26.4,90,0,3.8,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,13/06/1986,23.6,31.4,27.1,88,0,7.6,1,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,14/06/1986,24.4,32.3,28.1,84,0,8,2,N ,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,15/06/1986,24.6,31.6,27.2,88,18,7.4,2,SW,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,16/06/1986,24,29.6,26,94,2.1,3.4,9999,N ,9999,9999
