"Date","Total_FRP"
2011-08-07,171.5
2011-08-08,47.5
2011-08-09,36.8
2011-08-10,9.3
2011-08-12,563.1
2011-08-13,114.9
2011-08-14,145.2
2011-08-15,32.3
2011-08-16,185.1
2011-08-19,56.8
2011-08-21,201.8
2011-08-22,94.9
2011-08-23,31
2011-08-24,905
2011-08-25,278
2011-08-26,4862.8
2011-08-27,437.3
2011-08-28,234.2
2011-09-01,13.9
2011-09-08,17.9
2011-09-10,141
2011-09-11,239.3
2011-09-22,28.2
2011-09-23,88.3
2011-09-24,222.6
2011-09-27,258.6
2011-09-28,2522.1
2011-09-29,2143
2011-09-30,673.1
2011-10-01,49.4
2011-10-02,134.2
2011-10-03,392
2011-10-04,846.5
2011-10-13,25.8
2011-11-09,5.8
2011-11-20,7
2011-12-07,11.4
2012-01-07,12.6
2012-01-19,7.5
2012-01-21,28.5
2012-02-08,28.3
2012-03-23,8
2012-03-27,22.4
2012-04-08,18.7
2012-04-24,9.8
2012-05-17,8.9
2012-06-15,196.2
2012-06-16,46.6
2012-06-18,16.4
2012-06-20,38.7
2012-06-22,33.8
2012-06-23,14.6
2012-06-24,5.2
2012-06-25,18.2
2012-06-27,630.7
2012-06-28,182.6
2012-06-29,307
2012-06-30,20.9
2012-07-01,81.7
2012-07-02,14.8
2012-07-03,77.6
2012-07-04,78.2
2012-07-08,141.8
2012-07-18,26.1
2012-07-20,9.7
2012-07-24,6.7
2012-07-29,309.8
2012-07-30,65.1
2012-07-31,59.1
2012-08-01,148
2012-08-02,257.5
2012-08-05,170.4
2012-08-07,288.5
2012-08-08,273.1
2012-08-09,160.8
2012-08-10,35.8
2012-08-12,196.8
2012-08-14,242.1
2012-08-15,59.8
2012-08-16,595.3
2012-08-17,210.3
2012-08-18,215.3
2012-08-19,123.7
2012-08-20,499.9
2012-08-21,418
2012-08-22,11.1
2012-08-23,180.8
2012-08-25,671
2012-08-26,65.7
2012-08-27,12.1
2012-09-01,7.3
2012-09-02,62.6
2012-09-04,19.6
2012-09-06,40.6
2012-09-12,92.6
2012-09-13,80.6
2012-09-14,26.3
2012-09-15,529.7
2012-09-16,163.9
2012-09-17,11.7
2012-09-19,165.1
2012-09-20,74.7
2012-09-22,429.1
2012-09-23,48.8
2012-09-24,392.2
2012-09-25,234.8
2012-09-26,217.6
2012-09-27,508.6
2012-09-28,1486.2
2012-09-29,2053.5
2012-09-30,13.1
2012-10-01,223.1
2012-10-03,182.3
2012-10-04,105.2
2012-10-05,1686
2012-10-06,91.9
2012-10-07,170.5
2012-10-08,80.8
2012-10-10,28.4
2012-10-24,69.4
2013-01-23,24.3
2013-03-01,42.9
2013-03-14,173.8
2013-03-16,18.6
2013-03-20,96.6
2013-04-04,11.2
2013-04-11,8.6
2013-04-15,7.9
2013-04-25,11.3
2013-07-23,7.6
2013-07-29,15.9
2013-08-10,6
2013-08-19,43.3
2013-08-21,100.2
2013-08-22,207.1
2013-08-24,5.2
